Date,Open,High,Low,Close,Volume
2023-10-10,235.74,237.565,234.43,234.98,953704
2023-10-11,235.48,236.9565,234.92,236.61,820535
2023-10-12,236.0,236.0,232.41,233.73,1087347
2023-10-13,234.0,234.86,230.63,231.5,1098255
2023-10-16,233.56,235.565,231.56,233.61,1047276
2023-10-17,232.36,235.931,231.68,235.3,801671
2023-10-18,233.18,233.18,225.18,225.41,1145247
2023-10-19,224.81,228.74,224.0,224.9,1309011
2023-10-20,225.23,226.74,222.64,223.56,2513346
2023-10-23,225.5,225.88,222.32,222.45,1586657
2023-10-24,225.51,226.0,217.5,223.06,2174470
2023-10-25,221.7,226.9,219.01,225.97,2168939
2023-10-26,226.85,229.49,223.2554,224.16,1304457
2023-10-27,224.16,227.04,222.205,223.26,1118847
2023-10-30,224.11,226.62,222.53,223.58,921413
2023-10-31,223.3,224.75,221.82,224.12,1767490
2023-11-01,224.99,225.44,221.84,224.54,931829
2023-11-02,227.17,232.08,225.88,231.71,1282019
2023-11-03,234.39,237.57,231.97,233.11,1098417
2023-11-06,233.0,233.95,230.55,231.15,1043595
2023-11-07,230.74,231.3528,229.08,229.89,1093636
2023-11-08,230.0,230.97,227.96,229.01,1204181
2023-11-09,229.5,230.18,227.657,228.5,1121215
2023-11-10,229.46,232.63,228.44,232.49,1178302
2023-11-13,231.51,232.9,231.21,232.11,747586
2023-11-14,236.0,238.47,235.16,236.43,1021240
2023-11-15,237.11,240.03,237.11,237.52,878854
2023-11-16,237.73,240.33,237.73,239.02,792467
2023-11-17,240.15,240.61,238.75,239.92,1251658
2023-11-20,239.61,240.615,237.6,239.62,942821
2023-11-21,239.7,242.04,239.195,241.81,1052559
2023-11-22,242.41,242.72,239.82,240.7,931496
2023-11-24,240.81,241.85,240.26,241.85,284795
2023-11-27,240.68,242.27,238.69,241.8,777849
2023-11-28,242.0,242.64,240.26,241.25,971107
2023-11-29,243.16,243.73,240.495,240.83,698519
2023-11-30,241.79,242.613,238.98,242.21,2014402
2023-12-01,241.725,245.57,240.4,245.24,774332
2023-12-04,243.6,247.8,243.08,247.57,807246
2023-12-05,246.76,247.59,244.3,244.62,686642
2023-12-06,245.84,248.98,245.84,246.89,1040432
2023-12-07,248.03,248.64,246.815,247.57,582194
2023-12-08,248.0,250.55,247.425,249.61,1781170
2023-12-11,250.02,251.365,249.59,250.4,1115404
2023-12-12,251.84,252.91,250.56,251.75,982066
2023-12-13,252.0,253.565,249.15,252.59,913054
2023-12-14,255.0,259.86,254.32,259.3,1019407
2023-12-15,257.42,259.9699,255.31,258.34,2269666
2023-12-18,259.11,259.11,256.63,257.66,639801
2023-12-19,258.75,259.22,257.21,258.59,831558
2023-12-20,258.06,260.7125,256.64,256.69,955903
2023-12-21,258.68,260.65,257.89,260.49,855625
2023-12-22,261.21,263.23,261.02,261.91,496909
2023-12-26,261.99,264.78,261.99,263.73,924478
2023-12-27,263.72,265.0,263.0,263.67,626188
2023-12-28,262.01,262.68,261.055,261.88,764891
2023-12-29,261.54,262.82,260.965,261.94,634171
2024-01-02,260.09,262.09,258.76,260.59,755686
2024-01-03,259.3,259.38,257.11,258.3,876924
2024-01-04,259.61,261.72,258.97,259.38,926187
2024-01-05,259.36,260.55,257.0,257.96,723383
2024-01-08,257.85,258.088,254.84,257.22,1155507
2024-01-09,256.17,256.82,254.54,256.41,772546
2024-01-10,252.84,255.6161,252.84,253.98,1095048
2024-01-11,254.32,254.6,251.6001,253.97,1065814
2024-01-12,256.03,256.96,253.03,253.63,974045
2024-01-16,252.56,254.03,250.86,253.7,726507
2024-01-17,252.28,253.91,250.06,250.22,1177001
2024-01-18,250.38,253.525,250.02,252.78,1047641
2024-01-19,253.23,255.51,250.87,255.51,895912
2024-01-22,256.01,258.4,255.85,257.69,623433
2024-01-23,258.34,261.06,257.72,260.91,1078265
2024-01-24,262.33,262.605,258.54,258.6,1132808
2024-01-25,260.94,262.7,259.52,262.18,1322071
2024-01-26,262.67,264.19,261.65,262.41,1071937
2024-01-29,261.95,264.18,261.39,264.18,1174056
2024-01-30,263.16,266.36,263.03,265.81,1072357
2024-01-31,267.12,267.12,260.805,260.9,2665702
2024-02-01,254.0,256.22,249.24,255.55,2916002
2024-02-02,254.82,256.485,252.69,256.06,1391799
2024-02-05,253.66,255.13,252.58,254.21,1195698
2024-02-06,252.51,255.72,251.52,255.69,1258336
2024-02-07,256.42,257.655,253.485,254.09,1134564
2024-02-08,253.72,254.75,251.315,254.51,732439
2024-02-09,254.41,255.77,253.63,255.75,685202
2024-02-12,255.52,257.23,254.46,256.42,786593
2024-02-13,254.45,254.69,249.59,251.72,1026819
2024-02-14,253.0,254.22,251.76,254.12,904232
2024-02-15,254.26,256.98,253.65,256.83,903497
2024-02-16,256.5,257.1,252.97,253.92,1202812
2024-02-20,254.0,256.7478,253.84,255.6,1095026
2024-02-21,256.54,258.08,254.942,258.05,822107
2024-02-22,258.05,259.33,257.16,258.67,1398331
2024-02-23,258.74,260.985,258.74,260.13,990557
2024-02-26,259.23,260.81,258.71,259.75,907193
2024-02-27,260.83,261.775,258.625,261.51,1012295
2024-02-28,262.06,263.67,261.75,262.67,844287
2024-02-29,263.63,263.63,261.375,262.15,1370369
2024-03-01,261.74,262.0,258.257,260.19,1139799
2024-03-04,254.06,260.43,254.01,259.07,1652425
2024-03-05,259.12,260.905,257.23,257.88,1383663
2024-03-06,258.84,261.72,258.47,260.26,1107260
2024-03-07,262.65,263.32,260.55,261.48,1160070
2024-03-08,261.98,262.96,260.77,261.18,912923
2024-03-11,261.71,261.91,259.425,261.78,1200394
2024-03-12,262.33,263.545,260.29,262.88,1052956
2024-03-13,263.6,264.17,261.9756,262.67,1588325
2024-03-14,265.22,266.81,262.6401,264.92,2400339
2024-03-15,262.81,266.95,262.81,266.92,11556380
2024-03-18,269.0,269.235,264.66,264.86,970679
2024-03-19,263.82,267.08,263.82,266.33,1117543
2024-03-20,266.79,268.86,264.98,268.75,818637
2024-03-21,268.87,270.54,268.36,270.33,1164710
2024-03-22,270.84,271.15,268.35,268.66,1046201
2024-03-25,267.95,269.19,265.69,265.86,969619
2024-03-26,265.96,267.12,265.28,265.49,978378
2024-03-27,265.78,268.28,265.56,268.21,886953
2024-03-28,269.02,269.69,267.365,268.33,1132516
2024-04-01,268.13,268.59,265.15,265.23,919857
2024-04-02,266.1,266.5586,263.59,263.93,906686
2024-04-03,263.54,264.88,263.33,264.21,856664
2024-04-04,266.61,268.04,261.55,261.78,1064065
2024-04-05,263.12,264.26,262.03,262.94,908509
2024-04-08,263.78,264.71,261.795,262.04,771789
2024-04-09,262.53,264.41,259.89,262.58,917179
2024-04-10,260.42,261.295,257.71,259.29,761841
2024-04-11,258.96,260.75,257.24,257.68,1104342
2024-04-12,255.7,256.31,251.95,253.51,1132453
2024-04-15,256.48,257.5762,253.39,253.83,2036390
2024-04-16,253.86,254.32,250.81,251.21,1032092
2024-04-17,252.74,252.845,249.03,249.54,845250
2024-04-18,250.53,250.82,248.08,248.83,810765
2024-04-19,249.41,250.92,248.48,250.46,2118593
2024-04-22,251.11,252.71,249.38,249.96,1004362
2024-04-23,250.67,252.48,250.13,250.64,891238
2024-04-24,250.17,251.94,249.22,251.76,1252565
2024-04-25,250.24,251.98,247.145,248.16,1144721
2024-04-26,247.79,250.09,247.79,248.28,947179
2024-04-29,248.03,250.94,248.03,249.24,1636118
2024-04-30,250.43,251.75,242.63,244.11,2423658
2024-05-01,244.89,245.835,241.94,242.27,1304318
2024-05-02,242.71,243.295,239.46,242.04,1325869
2024-05-03,243.16,244.52,241.24,243.92,929954
2024-05-06,245.04,246.19,243.53,245.19,758670
2024-05-07,246.88,248.0,246.16,247.14,728778
2024-05-08,246.69,247.85,245.93,247.4,621405
2024-05-09,247.48,249.808,247.48,249.73,574685
2024-05-10,250.73,251.0381,249.0,250.33,585438
2024-05-13,251.08,251.95,249.72,250.29,628503
2024-05-14,251.73,252.35,249.3,249.38,781047
2024-05-15,250.43,251.7,248.47,249.09,1045209
2024-05-16,248.43,250.215,246.6,249.77,1113239
2024-05-17,250.22,250.71,248.47,250.6,961778
2024-05-20,250.62,251.145,249.04,250.59,701433
2024-05-21,250.35,250.64,248.55,248.78,901216
2024-05-22,247.96,249.98,247.54,248.74,974972
2024-05-23,245.65,245.65,240.27,241.45,1621250
2024-05-24,241.96,242.525,238.84,240.07,997894
2024-05-28,239.85,241.14,236.84,237.41,1224803
2024-05-29,235.56,236.78,234.6,235.01,1075375
2024-05-30,235.01,237.98,234.855,237.8,1053354
2024-05-31,237.84,243.05,237.465,242.75,2501366
2024-06-03,242.89,243.51,238.0,239.87,1022218
2024-06-04,238.82,242.13,238.82,240.67,1260097
2024-06-05,241.17,242.12,239.43,241.4,582129
2024-06-06,240.7,241.965,239.46,240.97,730164
2024-06-07,240.83,242.11,239.64,240.42,670937
2024-06-10,239.68,240.27,238.68,239.37,655174
2024-06-11,238.36,238.48,236.51,238.24,845157
2024-06-12,240.5,242.35,238.835,239.81,788419
2024-06-13,238.82,240.78,237.02,240.6,842764
2024-06-14,238.4,239.425,232.98,235.17,1019517
2024-06-17,235.56,239.58,235.2,238.95,1170162
2024-06-18,239.54,241.77,239.3,240.49,823350
2024-06-20,240.15,243.85,239.4,243.33,1193140
2024-06-21,243.37,243.91,239.83,240.4,1813650
2024-06-24,241.37,244.23,240.0,242.59,1296171
2024-06-25,241.52,241.79,237.08,237.95,793835
2024-06-26,236.71,239.31,235.001,238.88,855768
2024-06-27,238.61,239.24,235.85,237.39,1158350
2024-06-28,236.74,238.72,235.35,236.96,3403554
2024-07-01,238.49,238.84,232.7728,233.41,913003
2024-07-02,233.34,235.67,233.34,235.51,949439
2024-07-03,236.61,237.48,235.02,235.99,475351
2024-07-05,236.0,236.0,232.795,233.14,1312075
2024-07-08,233.78,235.22,232.81,233.91,992810
2024-07-09,232.97,235.41,232.97,234.06,804517
2024-07-10,233.27,235.94,233.17,235.91,859253
2024-07-11,236.85,241.64,236.01,240.19,909271
2024-07-12,242.39,247.02,241.575,245.93,1072279
2024-07-15,245.92,248.0,244.905,246.73,890841
2024-07-16,247.8,253.59,247.8,253.49,983594
2024-07-17,253.28,255.0,252.62,253.89,782258
2024-07-18,251.02,254.94,249.04,249.29,1202721
2024-07-19,250.07,250.28,241.82,242.62,2575575
2024-07-22,244.11,245.74,240.47,245.39,763262
2024-07-23,244.62,245.75,242.74,243.06,642925
2024-07-24,241.82,244.205,238.59,239.3,893149
2024-07-25,239.19,246.895,238.5,243.83,970534
2024-07-26,245.48,248.79,243.69,247.49,882230
2024-07-29,247.7,249.92,246.58,248.02,1312448
2024-07-30,255.44,256.32,240.02,249.34,1814637
2024-07-31,249.24,250.24,245.78,247.28,1813628
2024-08-01,247.53,248.98,240.92,242.26,1217050
2024-08-02,240.57,244.07,237.92,243.85,1281644
2024-08-05,241.95,242.74,237.55,239.36,1190065
2024-08-06,239.84,242.11,237.56,238.37,1059551
2024-08-07,240.2,243.625,236.41,236.86,838395
2024-08-08,238.0,240.14,237.03,239.77,800470
2024-08-09,239.15,240.21,236.29,239.21,652590
2024-08-12,239.2,240.0,236.35,236.62,870777
2024-08-13,237.38,239.47,235.49,238.76,598841
2024-08-14,238.61,240.54,237.96,238.66,554641
2024-08-15,241.16,242.8,239.5,240.26,969979
2024-08-16,239.54,242.71,239.54,241.94,895133
2024-08-19,242.57,243.1,241.0451,242.66,571557
2024-08-20,242.58,243.93,241.85,243.38,569826
2024-08-21,244.42,246.77,243.44,246.63,668559
2024-08-22,246.63,247.06,244.57,245.84,595365
2024-08-23,246.86,248.895,245.635,246.99,494842
2024-08-26,247.84,250.21,247.25,248.6,620667
2024-08-27,248.69,249.73,247.91,249.27,763307
2024-08-28,249.43,250.71,247.75,248.56,725148
2024-08-29,250.15,251.94,248.77,250.44,585580
2024-08-30,250.7,253.75,249.53,253.18,822593
2024-09-03,252.5,252.98,248.41,249.78,959146
2024-09-04,249.55,250.0,242.75,244.73,1052275
2024-09-05,244.85,244.85,241.19,243.06,866007
2024-09-06,242.99,245.83,242.34,243.6,754290
2024-09-09,245.16,247.33,244.39,246.74,971478
2024-09-10,247.0,248.2,244.95,247.57,811594
2024-09-11,247.67,248.095,241.47,247.02,1027041
2024-09-12,247.53,248.45,244.44,248.2,628963
2024-09-13,248.84,252.3,248.07,251.75,669571
2024-09-16,253.41,255.4,252.21,255.13,690079
2024-09-17,255.65,258.38,254.06,254.72,812918
2024-09-18,254.97,256.655,252.6201,252.97,826250
2024-09-19,256.54,259.03,254.96,257.96,727595
2024-09-20,256.59,256.59,253.36,254.32,1772987
2024-09-23,254.51,256.93,253.03,256.65,716223
2024-09-24,258.21,259.715,256.69,258.52,709936
2024-09-25,259.06,259.79,257.52,258.06,1150307
2024-09-26,260.0,263.23,259.15,262.0,730696
2024-09-27,263.0,267.7,262.81,263.97,1066451
2024-09-30,262.15,263.03,259.33,262.07,876472
2024-10-01,262.02,262.17,258.63,261.35,754470
2024-10-02,260.37,262.4,260.0,261.89,776244
2024-10-03,260.39,262.06,257.6,259.99,827678
2024-10-04,260.96,261.41,256.485,258.41,624279
2024-10-07,256.41,258.13,255.13,256.04,521070
2024-10-08,256.3,257.005,253.12,255.72,529849
2024-10-09,255.61,259.29,254.34,257.98,717423
2024-10-10,257.38,257.835,255.26,256.83,582207
2024-10-11,257.39,260.92,257.39,260.59,664248
2024-10-14,259.84,261.9,258.94,261.5,513468
2024-10-15,262.72,264.77,261.29,261.35,729604
2024-10-16,260.99,263.2399,259.3401,260.83,682249
2024-10-17,261.94,262.2,258.95,260.66,684062
2024-10-18,261.87,261.95,259.63,261.03,699672
2024-10-21,260.3,261.02,257.741,258.37,559233
2024-10-22,257.97,259.29,254.25,256.98,852497
2024-10-23,256.46,257.99,255.55,256.32,860835
2024-10-24,256.15,257.1599,254.06,255.53,666039
2024-10-25,257.14,257.16,253.83,254.08,730755
2024-10-28,255.72,258.52,255.72,256.87,753834
2024-10-29,255.45,257.545,253.0,256.04,1304970
2024-10-30,263.0,264.75,253.455,264.33,1655951
2024-10-31,264.64,265.39,260.81,261.13,1267481
2024-11-01,261.98,264.28,260.74,263.08,882591
2024-11-04,263.62,265.45,262.0,263.88,737062
2024-11-05,263.36,266.96,262.13,266.43,794975
2024-11-06,272.95,277.58,272.04,275.47,1151614
2024-11-07,275.68,275.955,271.29,272.91,833532
2024-11-08,272.61,275.73,271.82,271.95,833597
2024-11-11,272.55,275.53,272.55,274.27,791886
2024-11-12,273.26,274.36,271.02,271.2,758066
2024-11-13,269.9,273.355,268.89,272.96,1305664
2024-11-14,272.49,273.6,269.62,269.87,805179
2024-11-15,269.41,272.81,269.345,270.62,913018
2024-11-18,270.08,272.3,269.39,270.06,711415
2024-11-19,267.9,268.78,266.11,266.46,615378
2024-11-20,267.01,267.41,264.31,266.38,856864
2024-11-21,266.38,271.185,265.46,269.85,763966
2024-11-22,270.82,274.34,269.565,273.95,950465
2024-11-25,274.89,277.94,274.03,276.37,1392064
2024-11-26,275.63,276.78,273.13,276.51,828829
2024-11-27,276.64,279.1299,275.64,276.04,796024
2024-11-29,275.29,278.77,274.55,277.52,570770
2024-12-02,278.11,278.86,275.7385,278.5,913767
2024-12-03,278.02,278.98,274.47,275.99,723561
2024-12-04,275.44,277.38,274.79,275.9,903104
2024-12-05,277.07,278.205,274.48,275.27,716870
2024-12-06,276.46,277.235,273.3,273.53,536469
2024-12-09,273.95,276.2375,273.33,274.07,816989
2024-12-10,273.84,275.18,269.97,273.75,831117
2024-12-11,274.81,276.42,272.51,272.96,707406
2024-12-12,273.64,274.37,271.63,273.12,555297
2024-12-13,272.86,273.27,270.66,272.11,536811
2024-12-16,272.11,272.35,269.1443,269.66,822965
2024-12-17,268.52,271.15,267.01,267.88,889915
2024-12-18,267.43,269.999,261.04,261.23,854212
2024-12-19,262.43,263.87,257.87,258.11,1465305
2024-12-20,257.71,262.345,257.26,258.82,2692558
2024-12-23,257.92,259.1899,256.21,257.64,684565
2024-12-24,257.79,259.17,256.4753,259.17,356881
2024-12-26,258.13,259.33,257.4,258.77,423169
2024-12-27,256.92,259.2497,255.29,256.55,489045
2024-12-30,255.15,255.71,252.41,254.83,1292038
2024-12-31,253.79,255.14,252.72,253.56,694622
2025-01-02,254.82,255.9498,249.89,250.03,748061
2025-01-03,250.38,253.025,248.62,252.29,866805
2025-01-06,252.32,254.58,249.78,250.36,790910
2025-01-07,250.5,252.45,247.96,248.59,685393
2025-01-08,247.26,248.6,246.66,247.61,1081928
2025-01-10,245.11,247.46,242.6855,244.9,1152622
2025-01-13,243.98,249.84,243.725,249.7,1182640
2025-01-14,250.42,253.34,250.42,252.97,792320
2025-01-15,256.38,256.67,253.73,253.8,712557
2025-01-16,253.92,256.35,253.06,255.93,876665
2025-01-17,257.5,258.0,256.18,256.38,844760
2025-01-21,258.42,262.372,258.42,261.39,718374
2025-01-22,260.6,261.185,258.375,259.14,899514
2025-01-23,259.67,260.1514,257.98,259.9,610772
2025-01-24,259.52,260.49,258.5,259.9,828417
2025-01-27,260.23,265.115,260.23,264.42,1011426
2025-01-28,262.59,263.56,258.6,258.71,905319
2025-01-29,258.0,259.59,256.06,256.38,815192
2025-01-30,257.47,260.25,256.915,260.13,1166265
2025-01-31,259.4,261.899,258.57,259.16,1254044
2025-02-03,255.5,257.4499,251.99,255.44,1300506
2025-02-04,255.5,256.52,254.0701,254.68,1331645
2025-02-05,248.0,254.45,244.6922,254.24,2104314
2025-02-06,255.31,255.31,248.47,255.09,1231184
2025-02-07,255.9,255.9,252.8,255.56,1053714
2025-02-10,256.79,258.37,255.69,257.61,781222
2025-02-11,257.34,258.75,255.8201,258.68,744292
2025-02-12,256.81,256.815,252.3491,256.05,946177
2025-02-13,256.96,260.68,256.95,260.09,939540
2025-02-14,260.45,261.2175,257.67,258.11,1013793
2025-02-18,258.0,262.3,257.65,262.25,817628
2025-02-19,262.01,264.37,261.2601,264.1,818308
2025-02-20,263.24,265.84,262.825,265.54,878350
2025-02-21,265.87,265.87,262.73,264.28,918396
2025-02-24,264.38,266.645,261.09,261.6,1166780
2025-02-25,262.79,266.98,261.96,264.53,1283653
2025-02-26,264.22,264.385,260.53,261.41,1086845
2025-02-27,261.3,263.85,260.03,261.15,808126
2025-02-28,262.67,264.205,259.72,263.98,1437926
2025-03-03,266.02,267.43,260.62,262.23,1094654
2025-03-04,261.4,261.87,254.45,255.32,1495632
2025-03-05,256.26,261.82,255.1,261.05,1351866
2025-03-06,260.29,265.71,258.4701,265.11,1525911
2025-03-07,265.19,275.32,264.37,274.48,2321005
2025-03-10,273.24,278.125,267.06,267.67,1830032
2025-03-11,267.38,267.83,254.6,254.82,1757515
2025-03-12,254.79,255.61,248.63,251.3,1717398
2025-03-13,250.17,256.04,248.84,250.37,1097281
2025-03-14,251.36,255.13,251.12,254.46,860581
2025-03-17,253.61,257.71,252.19,256.13,908690
2025-03-18,255.73,257.13,253.0,254.64,845176
2025-03-19,254.64,257.3,254.17,256.24,883462
2025-03-20,254.25,255.98,252.14,253.36,842496
2025-03-21,251.45,251.88,248.16,251.34,1566101
2025-03-24,252.93,256.14,252.93,255.64,683941
2025-03-25,256.67,257.4,253.18,254.99,786043
2025-03-26,255.22,257.4901,253.73,255.89,891010
2025-03-27,256.33,256.81,250.07,251.96,1491812
2025-03-28,252.38,252.46,246.16,246.46,939547
2025-03-31,244.04,249.31,242.47,248.01,1546353
2025-04-01,247.26,249.84,246.33,248.7,1010589
2025-04-02,246.76,253.23,246.76,252.43,980402
2025-04-03,246.66,249.59,239.04,239.44,1492534
2025-04-04,233.49,235.65,224.94,225.57,2022721
2025-04-07,219.52,229.92,215.455,221.75,2341934
2025-04-08,228.0,228.86,214.66,218.41,1840063
2025-04-09,216.21,235.42,215.87,234.87,2113386
2025-04-10,229.5,231.66,219.85,226.81,1805314
2025-04-11,226.22,233.782,223.69,232.32,1451470
2025-04-14,235.0,236.02,232.68,233.55,1129911
2025-04-15,232.5,234.905,231.265,231.5,669323
2025-04-16,230.83,233.435,227.7,229.8,1345937
2025-04-17,230.84,233.93,230.49,230.84,889346
2025-04-21,228.79,229.835,224.9,227.61,939067
2025-04-22,229.7,236.79,229.7,236.25,1295516
2025-04-23,241.0,244.27,235.9,236.7,1072470
2025-04-24,238.03,242.48,236.55,242.07,957748
2025-04-25,241.75,242.03,238.22,239.5,1285773
2025-04-28,240.5,243.46,238.62,240.12,972783
2025-04-29,239.77,243.04,238.83,241.75,1472527
2025-04-30,239.88,240.65,228.76,239.91,3721926
2025-05-01,241.01,244.0,238.34,239.24,1818179
2025-05-02,242.94,243.43,240.71,242.32,1543262
2025-05-05,240.65,242.83,239.385,240.87,942765
2025-05-06,239.45,241.16,238.58,239.87,1029816
2025-05-07,237.0,241.96,236.68,240.31,1552392
2025-05-08,242.72,246.015,241.64,243.09,1237899
2025-05-09,243.52,244.54,242.09,242.5,809940
2025-05-12,249.97,252.7499,249.28,250.31,1142491
2025-05-13,251.0,252.38,249.12,249.14,1184148
2025-05-14,248.55,248.55,244.63,245.14,1252301
2025-05-15,245.23,248.535,244.19,247.97,926605
2025-05-16,248.0,251.6,247.12,251.34,1179490
2025-05-19,248.85,252.47,248.85,251.71,739366
2025-05-20,251.5,252.12,248.91,249.94,954403
2025-05-21,247.05,248.285,244.12,244.65,772892
2025-05-22,243.89,246.25,243.0592,244.71,831412
2025-05-23,241.52,242.84,240.9,241.84,752546
2025-05-27,244.68,247.155,243.13,246.69,789564
2025-05-28,246.97,247.58,243.51,243.83,661682
2025-05-29,245.71,245.73,243.04,245.73,714545
2025-05-30,245.19,246.23,243.4,245.08,2390401
2025-06-02,243.96,245.1,240.5,242.65,977622
2025-06-03,242.28,245.57,241.85,245.26,792786
2025-06-04,245.9,248.1,244.99,246.51,998925
2025-06-05,247.08,248.13,245.3275,246.11,1090904
2025-06-06,248.5,249.79,246.54,247.56,604764
2025-06-09,247.99,248.8599,246.2,247.28,718698
2025-06-10,248.01,249.92,246.54,249.0,632350
2025-06-11,249.43,249.43,246.015,246.62,727696
2025-06-12,245.42,246.89,244.28,246.01,650999
2025-06-13,243.8,244.99,241.02,241.48,801603
2025-06-16,244.24,245.1525,242.61,244.45,671755
2025-06-17,243.35,244.51,240.77,241.18,678735
2025-06-18,241.08,243.08,240.81,241.31,673278
2025-06-20,242.68,243.28,239.61,240.62,1504318
